rank;model_key;model_name;imagenet_top1;imagenet_top5;shapenet_base_top1;shapenet_top1;shapenet_evaluable;delta_vs_baseline;delta_base_to_average
1;clip_b__knn;CLIP-B-KNN;0.2618082601213658;0.40641699121456387;0.0;0;0;0;0.0
2;clip_b_in1k__knn;CLIP-B-IN1K-KNN;0.4659451136672403;0.580959605108233;0.0;0;0;0;0.0
3;clip_b_in1k__linear_probe;CLIP-B-IN1K-LINEAR_PROBE;0.47887419617788246;0.6501902001630288;0.0;0;0;0;0.0
4;clip_b_in1k__logits;CLIP-B-IN1K-LOGITS;0.4787270174803007;0.6574925278507382;0.0;0;0;0;0.0
5;clip_l__knn;CLIP-L-KNN;0.3758717507472149;0.510347794583824;0.0;0;0;0;0.0
6;clip_l_in1k__knn;CLIP-L-IN1K-KNN;0.5369305316547415;0.6500203785888959;0.0;0;0;0;0.0
7;clip_l_in1k__logits;CLIP-L-IN1K-LOGITS;0.5430327868852459;0.7211076895208768;0.0;0;0;0;0.0
