Model,imagenet-1k_Top1,imagenet-1k_Top5,imagenet-1k_ECE,imagenet-1k_ROC,imagenet-9_Top1,imagenet-9_Top5,imagenet-9_ECE,imagenet-9_ROC,imagenet-a_Top1,imagenet-a_Top5,imagenet-a_ECE,imagenet-a_ROC,imagenet-c_Top1,imagenet-c_Top5,imagenet-c_ECE,imagenet-c_ROC,imagenet-d_Top1,imagenet-d_Top5,imagenet-d_ECE,imagenet-d_ROC,imagenet-hard_Top1,imagenet-hard_Top5,imagenet-hard_ECE,imagenet-hard_ROC,imagenet-mini_Top1,imagenet-mini_Top5,imagenet-mini_ECE,imagenet-mini_ROC,imagenet-r_Top1,imagenet-r_Top5,imagenet-r_ECE,imagenet-r_ROC,imagenet-sketch_Top1,imagenet-sketch_Top5,imagenet-sketch_ECE,imagenet-sketch_ROC,imagenet-v2_Top1,imagenet-v2_Top5,imagenet-v2_ECE,imagenet-v2_ROC,tiny-imagenet_Top1,tiny-imagenet_Top5,tiny-imagenet_ECE,tiny-imagenet_ROC,normal_dataset_Top1,normal_dataset_Top5,normal_dataset_ECE,normal_dataset_ROC,plastic_dataset_Top1,plastic_dataset_Top5,plastic_dataset_ECE,plastic_dataset_ROC,objectnet_Top1,objectnet_Top5,objectnet_ECE,objectnet_ROC,PUG_ImageNet_Top1,PUG_ImageNet_Top5,PUG_ImageNet_ECE,PUG_ImageNet_ROC,Avg_Top1,Avg_Top5,Avg_ECE,Avg_ROC
CLIP-B-KNN,0.67132,0.87546,0.1296165825580805,0.8312673377720553,0.43848765432098763,0.6009876543209877,0.11312059625523327,0.8908000744742236,0.18265756724207147,0.375886524822695,0.12613269337848632,0.767511232491586,0.5128983157894736,0.6638722105263158,0.14278322495193072,0.8979526989651352,0.08831437435367115,0.23536711478800415,0.20444296078511823,0.6192913034423254,0.38688524590163936,0.526775956284153,0.0834645580805716,0.8495317393778261,0.6886,0.8836,0.12149080403149129,0.835840071661601,0.37543333333333334,0.5592,0.04741975308234494,0.8387805921004575,0.2889426005620075,0.5190316178348956,0.04291375900050613,0.8134461385715379,0.5263,0.7705,0.054915604545176036,0.8132079311756595,0.2444,0.3993,0.07237968062758446,0.8349830268961747,0.08630952380952381,0.19553571428571428,0.13042312464455053,0.8206761765696957,0.0843237833103966,0.20380332791192293,0.12765859611296063,0.8111346306896849,0.17314525681059545,0.302950360719285,0.08870872757451245,0.7988811011520079,0.2618082601213658,0.40641699121456387,0.05229785719761751,0.8656081534965021,0.3339883943703377,0.5012458315139026,0.10251790152174431,0.8192608139224316
CLIP-B-IN1K-KNN,0.84622,0.94976,0.01692501567780972,0.8575101628033917,0.586604938271605,0.7036728395061729,0.12506619283607529,0.8906818066506226,0.22614746420446943,0.39314866854007763,0.33418974188932465,0.7390036804467696,0.7617985263157895,0.8884915789473684,0.02015048128561832,0.8756730950484122,0.19875904860392968,0.42068252326783867,0.3916974831083568,0.6198330125272837,0.4819672131147541,0.6136612021857923,0.19293243953744404,0.8196956495912945,0.8572,0.9548,0.02072516765743493,0.8536528937286533,0.5141333333333333,0.6166,0.18159177897001305,0.8426606829641803,0.5454223899074456,0.7258543103617677,0.15777956818958158,0.8325975156274563,0.7408,0.8825,0.06589400564134118,0.8425440287693651,0.5901,0.733,0.1332266707219183,0.8290612914173561,0.25744047619047616,0.41517857142857145,0.2627231294377929,0.8040274769191562,0.234204929313149,0.376704616539472,0.2771451994338621,0.7933006048254782,0.2680628836007322,0.3729945084526758,0.3255898231201021,0.7962610008745077,0.4659451136672403,0.580959605108233,0.18879885752578662,0.8457330645510688,0.504987087768195,0.6418672282891981,0.17962903700216412,0.8161490644496664
CLIP-L-KNN,0.74404,0.91576,0.11973549859672786,0.8454575367725652,0.4749382716049383,0.6300617283950617,0.11436368643179717,0.9142861361765401,0.32771310049511576,0.5648334002408671,0.06338329149005598,0.7959509747251575,0.6413574736842105,0.7823943157894737,0.17414321274245018,0.9096828016775388,0.06866597724922441,0.23329886246122028,0.2379246805175261,0.5622837786856956,0.3889799635701275,0.5585610200364298,0.052029980061565596,0.8164785897074067,0.7572,0.9232,0.11009251850843424,0.8511430302049255,0.5553666666666667,0.7334666666666667,0.08973760282459357,0.8442846113071654,0.41399909607184265,0.6490793688223389,0.031358138882458995,0.8241346059588365,0.601,0.8276,0.05492830224409698,0.8314572621236953,0.4036,0.5842,0.040217397042363885,0.8400346745155439,0.1738095238095238,0.3205357142857143,0.07930449072404633,0.8380066667324622,0.16389340673088953,0.30826973601901664,0.08235866058350773,0.8242454079109236,0.23226014859480995,0.3597501884354474,0.07808692990944129,0.8170286441417454,0.3758717507472149,0.510347794583824,0.08050863461135556,0.8931038299366382,0.4215130252816376,0.5934239197157374,0.0938782016780281,0.8271719033717894
CLIP-L-IN1K-KNN,0.87526,0.95714,0.02364672664910554,0.8506523109003135,0.5886111111111111,0.7073148148148148,0.16173541585006465,0.8695914598388884,0.386859360363977,0.5479727017262144,0.3043282410753279,0.7456221093442963,0.7760014736842106,0.8956149473684211,0.052585308417933505,0.86001471616573,0.2543950361944157,0.4587383660806618,0.41955666157427596,0.6260401655334168,0.4733151183970856,0.6255919854280511,0.25767417611428733,0.7526244124333692,0.8886,0.9602,0.02371200392246244,0.841528501251237,0.6567,0.7549333333333333,0.15089800848687684,0.8041295087551714,0.641847943563442,0.7958497907209809,0.1624730353781023,0.8112379071292237,0.7772,0.8971,0.07970358861386773,0.8295525079209907,0.607,0.7369,0.17970722710117698,0.8098303088228513,0.3443452380952381,0.49166666666666664,0.2777425101204288,0.773085024703094,0.3231577630426623,0.4536469410734393,0.30016748045265756,0.7553704264267359,0.32707009798643266,0.42069559599440076,0.364303442219432,0.7654655500012018,0.5369305316547415,0.6500203785888959,0.19172295907065412,0.8461460202819042,0.5638195782728876,0.6902257014530587,0.19666378566977688,0.7960593953005616
DINOv1-B-KNN,0.70202,0.88974,0.04388412013977769,0.8581908398117651,0.6481172839506173,0.749104938271605,0.06727697866750351,0.924495193277526,0.06864712966680048,0.18667201926936974,0.2710318220635981,0.6807686921646389,0.8397587368421052,0.9195193684210526,0.12053808760148521,0.9251944784326721,0.08190279214064115,0.2407445708376422,0.2503447166889628,0.6022843892859662,0.5052823315118397,0.57632058287796,0.08733383002529813,0.938077932527265,0.7236,0.898,0.056849563363194466,0.8608517150539312,0.25926666666666665,0.3679,0.15243589557384454,0.8733670153621054,0.24580950696614198,0.39472184558549,0.12625290065934697,0.8645958994984789,0.5722,0.7954,0.026595525622367854,0.8415098855675274,0.4693,0.6839,0.05136417788043619,0.8181551120462096,0.0869047619047619,0.21875,0.17411172413267192,0.7350813077101678,0.08845239584636556,0.22081821593894657,0.16444076663592755,0.7852811829161427,0.10837730160439324,0.2207925056530634,0.18032564184544891,0.7782291441599652,0.235938773661806,0.3733697128883253,0.12227669447320005,0.8339229927930886,0.37570517871747583,0.5157169173162304,0.12633749635820424,0.8213337187071633
DINOv1-S-KNN,0.68634,0.8743,0.04703898452222348,0.8627516776210259,0.6326234567901234,0.7251543209876543,0.06828272850080219,0.9305351796154233,0.039609260002676304,0.12712431419777867,0.2770590841975554,0.6406025818210576,0.7953896842105264,0.8803648421052631,0.12351042247203307,0.9342956567566146,0.06349534643226473,0.19751809720785937,0.2507412051633694,0.609873706564151,0.42012750455373404,0.5155737704918033,0.0960737035160236,0.9222994023588802,0.7052,0.8788,0.05639870785474778,0.8617553956613057,0.2304,0.33163333333333334,0.16333467764606083,0.870542818459485,0.2061152704906758,0.3406040598164633,0.1499162117858326,0.8593202945282611,0.5501,0.7682,0.026915661394596096,0.8504807608582472,0.3864,0.5994,0.0957925499677658,0.7886578943195099,0.07321428571428572,0.1818452380952381,0.17012087981926188,0.7756108004239965,0.06968597522832479,0.1851620167646691,0.1705512971097964,0.8001099508142734,0.09017982125551846,0.19715731667922903,0.17604490237586704,0.7644766050804032,0.19913277782809527,0.3283556743048637,0.13558615007402422,0.8343216684553215,0.34320089216708166,0.47541286559894375,0.13382447775999734,0.8203756262225304
DINOv2-B-KNN,0.79728,0.93526,0.015692373224347817,0.8614579056756667,0.6510493827160494,0.7297530864197531,0.07152699666488688,0.9340911423399385,0.5252241402381909,0.7066773718720728,0.11677933053013698,0.8177527125715394,0.8772797894736842,0.9409772631578948,0.053648541723219985,0.9445754595294419,0.18883143743536712,0.4126163391933816,0.33513805876874136,0.5993920049955512,0.5449908925318762,0.6602914389799636,0.15506163376548032,0.8973718413233261,0.8032,0.9388,0.01859879804998635,0.869112725925566,0.5051,0.6485333333333333,0.10227885038281477,0.8536819970749756,0.5228438365855096,0.7398455461887637,0.10365168353797323,0.8267331162495108,0.6952,0.8669,0.05638058353587987,0.8413040706199842,0.6373,0.8013,0.07031796856522558,0.8255071594386142,0.3169642857142857,0.5321428571428571,0.18185400033724453,0.7801254001861568,0.2637307644188665,0.46365569873639434,0.21895763278939648,0.8044276446566787,0.27236997954129427,0.42694088510821576,0.29045500480464104,0.7717357526726616,0.46062403767774657,0.6135313830268997,0.1153393211921215,0.8558239154505437,0.537465903088858,0.6944816802106353,0.1270453851914731,0.8322061899140102
DINOv2-B-IN1K-KNN,0.8053,0.94154,0.03892297835364939,0.8612353596559925,0.6269444444444444,0.743179012345679,0.06509222713609536,0.9308054153132255,0.4516258530710558,0.6610464338284491,0.07724064831914443,0.8027444643276758,0.8426086315789474,0.9342551578947368,0.11069988585084832,0.926341298421058,0.147052740434333,0.3702171664943123,0.2989054234546244,0.597556616887732,0.5273224043715847,0.6502732240437158,0.07966668165894482,0.8773156495319483,0.8148,0.944,0.045193841579556436,0.8653519500472363,0.45563333333333333,0.6,0.0715093341698249,0.8535561412047503,0.4946255575861188,0.7161665585883,0.06247348525548784,0.8326707363781204,0.6863,0.8763,0.0271732294380665,0.8535806039704809,0.5927,0.7751,0.03169539405852555,0.8294461450553716,0.2910714285714286,0.512797619047619,0.10933344376805634,0.7981061952372859,0.23845865131990493,0.44163643187789314,0.13829422665320187,0.8317315159636133,0.23968988909227953,0.38252395822116936,0.2154913945688143,0.7881808862902193,0.3871931890227335,0.5407118920387646,0.10777778316544938,0.849294693550743,0.5067550748550775,0.6726498302920425,0.098631331828686,0.8331945114556968
DINOv2-L-KNN,0.81078,0.93834,0.021439345482140777,0.8595795936303079,0.6668518518518518,0.7519135802469136,0.0729063967071519,0.9195728906375917,0.6221062491636559,0.7762612070119096,0.09872884962946542,0.8422136991293019,0.9195684210526316,0.9684027368421053,0.04287879569384928,0.9394979683104999,0.20682523267838676,0.4312306101344364,0.32955565831962025,0.6104277705345502,0.5336976320582878,0.6762295081967213,0.18113173042612324,0.86139051834471,0.8124,0.9386,0.021639989842474457,0.8603243541734249,0.6177,0.7413666666666666,0.07419474237610897,0.8685127304500193,0.5941362573444163,0.7832930495784943,0.10274756785639777,0.8366491469000079,0.7127,0.8749,0.07476592577248817,0.8468276148057389,0.6829,0.8235,0.08009211607724429,0.8087277258546262,0.3860119047619048,0.6056547619047619,0.140287047150057,0.8085159421178146,0.3090203928437383,0.5207056174152384,0.19801544425753886,0.7837107392640712,0.3163561968342845,0.46511252288144717,0.30277396361547637,0.7603163976552859,0.5268204872747034,0.6766031156598135,0.08365485013908232,0.8700416015043981,0.5811916417242574,0.7314742251025674,0.12165416155634794,0.8317539128874899
DINOv2-L-IN1K-KNN,0.8159,0.9472,0.03342834239259365,0.8635174215029254,0.6340432098765432,0.761358024691358,0.05221046427402784,0.9239760843934772,0.5489094071992506,0.7270172621437174,0.05507905704599777,0.8462071305124834,0.8846656842105263,0.9660753684210527,0.10902729591569302,0.9100947270649373,0.1592554291623578,0.3791106514994829,0.27964926164793746,0.610819635469082,0.4969945355191257,0.6598360655737705,0.08583346940373462,0.8304676122252319,0.8248,0.9476,0.04018719330430033,0.8602763531438644,0.5237333333333334,0.6489,0.057370746844013505,0.8809743852388913,0.5642673269272338,0.7653716913281848,0.05174510306063521,0.8444476992873595,0.7115,0.886,0.025093189357966214,0.8518871814983113,0.6537,0.8137,0.02880463133901358,0.8298170422514618,0.3607142857142857,0.5720238095238095,0.09005087106710387,0.8281719582572782,0.2985111972976354,0.498936569498311,0.11059731225605814,0.8309147902327215,0.2743081727145472,0.41945730591148916,0.20384207271224808,0.7889138856714633,0.4240105062947197,0.571200525314736,0.08864277220067025,0.8582999232701848,0.5450208725499706,0.7042524849270608,0.0874374521881329,0.8372523886679782
